OBJECTID,Country,Region,Subregion,Location,State_Region,Location_type,Project_name,Capacity_m3_d,Size_,Capacity_MGD,Capacity_MIGD,Units,Unit_size_m3_d,Unit_size_MGD_,Unit_size_MIGD_,Technical_notes,Technology,Thermal_design,Thermal_equipment,Membrane_supplier_RO_,Membrane_type_RO_,ERD_supplier,ERD_type,DAF_pretreatment_supplier,DAF_brand,MF_UF_Pretreatment_Supplier,MF_UF_brand,Other_pretreatment,Feedwater,Award_date,Online_date,Consultant,Consultant_2,Consultant_3,Customer_type,Industry,Customer,Plant_status,Plant_type,Plant_supplier,Plant_supplier_share,Plant_supplier_2,Plant_supplier_2_share,Plant_supplier_3,Plant_supplier_3_share,Plant_supplier_4,Plant_supplier_4_share,Plant_supplier_5,Plant_supplier_5_share,Procurement_model,Concession_period,Dev_consortium,Developer,Dev_share,Developer_2,Dev2_share,Developer_3,Dev3_share,Developer_4,Dev4_share,Developer_5,Dev5_share,Developer_6,Dev6_share,EPC_price,Water_price_USD_m3_,Last_update,Latitude,Longitude,Contact,Feedwater_Ph,Feedwater_salinity,Feedwater_temp_minimum,Feedwater_temp_maximum,Product_water_salinity,Product_water_temp,Civil_contractor_offshore_,Civil_contractor_onshore_,Consultant_1,Developer_codeveloper,Engineering_Consultancy,Environmental_advisor,EPC_contractor_desal_,EPC_contractor_pipeline_,EPC_contractor_power_,EPCM_contractor,Equipment_Supplier_Desal_uns_87,Equipment_supplier_Membranes_88,Equipment_Supplier_Chemical__89,Equipment_supplier_DAF_pretr_90,Equipment_Supplier_Energy_Re_91,Equipment_Supplier_Glass_Rei_92,Equipment_Supplier_High_Pres_93,Equipment_Supplier_Low_Press_94,Equipment_Supplier_Membranes_95,Equipment_Supplier_Membranes_96,Equipment_Supplier_Motors,Equipment_Supplier_Pipes_uns_98,Equipment_Supplier_Pressure__99,Equipment_Supplier_Pretreatm_100,Equipment_Supplier_Pumps_Bri_101,Equipment_Supplier_Pumps_Bri_102,Equipment_Supplier_Pumps_Hig_103,Equipment_Supplier_Pumps_Not_104,Equipment_Supplier_Steel,Equipment_Supplier_Valves,Financial_advisor,Government_agency,Holding_Company,Insurance_adviser,Legal_advisor,Lender,Lender_engineer,O_M_contractor,Off_taker,Owner___Client,Owners_engineer,Prime_contractor,Project_Company,Sponsor,Subcontractor,Technical_advisor,Technology_provider,Winner,Short_listed1,Short_listed2,Short_listed3,Short_listed4,Short_listed5,Bid_submitted1,Bid_submitted2,Bid_submitted3,Bid_submitted4,Bid_submitted5,Pre_qualified1,Pre_qualified2,Pre_qualified3,Pre_qualified4,Pre_qualified5,Statement_of_qualification1,Statement_of_qualification2,Statement_of_qualification3,Statement_of_qualification4,Statement_of_qualification5,RO_System,RO_Configuration,RO_Feed_Pump_Drive,RO_Control_Type,RO_Energy_Recovery,RO_Electrical_Power_Consumpt_150,RO_Membrane_Type,RO_Pre_Treament_1st_Stage,RO_NPS_Or_MWCO,RO_Pre_Treament_2nd_Stage,RO_Pre_Treament_3rd_Stage,RO_Pre_Treament_4th_Stage,RO_Pre_Treament_5th_Stage,RO_Passivation,RO_Disinfection,RO_Dosed_Chemical_1st_Stage,MED_Design,MED_System,MED_Equipment,MED_Type,MED_Geometry,MED_Configuration,MED_Power_Consumption,MED_Gain_Output_Ratio,MSF_Design,MSF_System,MSF_Equipment,MSF_Type,MSF_Geometry,MSF_Configuration,MSF_Heat_Recovery_Stages,MSF_Heat_Rejection_Stages,MSF_Gain_Output_Ratio
1,U.S.A.,Americas,North America,Camp Pendleton,California,Land based,San Onofre Nuclear Generating Station (SONGS),"378,500",XL,100.000000000000000,83.260000000000005,,,,,,RO (Reverse Osmosis),,,,,,,,,,,,Seawater (TDS 20000ppm - 50000ppm),,,,,,Municipalities as drinking water (TDS 10ppm - <1000ppm),,San Diego County Water Authority / Municipal Water District of Orange County,Cancelled,,,,,,,,,,,,EPC,,,,,,,,,,,,,,,,,2018-04-27 10:46:58 UTC,33.368889000000003,-117.555000000000007,,,,,,,,,,,,RBF Consulting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Diego County Water Authority / Municipal Water District of Orange County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,U.S.A.,Americas,North America,San Antonio,Texas,Land based,"Gulf of Mexico to supply San Antonio, TX","302,800",XL,80.000000000000000,66.609999999999999,,,,,,RO (Reverse Osmosis),,,,,,,,,,,,Seawater (TDS 20000ppm - 50000ppm),,,,,,Municipalities as drinking water (TDS 10ppm - <1000ppm),,San Antonio Water System,On Hold,,,,,,,,,,,,EPC,,,,,,,,,,,,,,,,,2013-04-22 09:57:32 UTC,29.424121899999999,-98.493628200000003,Joe Rippole +1 210 704 3691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Antonio Water System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,U.S.A.,Americas,North America,Yuma,Arizona,Land based,Yuma,"276,672",XL,73.099999999999994,60.859999999999999,66,4192.000000000000000,1.110000000000000,0.920000000000000,,RO (Reverse Osmosis),,,,Spiral Wound Membrane,,,,,,,,Brackish water or inland water (TDS 3000ppm - <20000ppm),1979,1988,,,,Discharge,,U.S. Bureau of Reclamation,Presumed Offline,Stand-alone,CH2M,100,,,,,,,,,EPC,,,,,,,,,,,,,,,"251,740,000 USD",,2014-08-07 10:33:16 UTC,32.725324899999997,-114.624397000000002,,,2600,,,225,,,,,,,,CH2M,,,,,Hydranautics / Koch Membrane Systems,,,,,,,,,,,,,,,,,,,,,CH2M,,,,,Burns & Roe,,U.S. Bureau of Reclamation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single Pass,,Electric Motor,,,,Spiral Wound Membrane,,,,,,,,,,,,,,,,,,,,,,,,,,
4,U.S.A.,Americas,North America,Hillsboro,Oregon,Land based,Hillsboro,"201,600",XL,53.259999999999998,44.350000000000001,,,,,,RO (Reverse Osmosis),,,,,,,,,,,,Brackish water or inland water (TDS 3000ppm - <20000ppm),2011,2011,,,,Industry (TDS <10ppm),Electronics,Intel Corporation,Online,,GdF Suez,100,,,,,,,,,EPC,,,,,,,,,,,,,,,,,2014-08-13 11:39:58 UTC,45.545347950000000,-122.913751599999998,,,,,,,,,,,,,,GE Water & Process Technologies ,,,,,,,,,,,,,,,,,,,,,,,,,,GdF Suez,,,,,,,Intel Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,U.S.A.,Americas,North America,Camp Pendleton,California,Land based,"Camp Pendleton SWRO, CA","189,250",XL,50.000000000000000,41.630000000000003,,,,,,RO (Reverse Osmosis),,,,,,,,,,,"Dissolved Air Flotion (DAF),Microfiltration,Ultrafiltration",Seawater (TDS 20000ppm - 50000ppm),,2020,,,,Municipalities as drinking water (TDS 10ppm - <1000ppm),,San Diego County Water Authority,Planned,,"Shanghai Safbon Water Service Co., Ltd",100,,,,,,,,,DBO,,,,,,,,,,,,,,,"2,600,000 USD",,2018-10-05 08:36:25 UTC,33.335796600000002,-117.454834000000005,"Jeremy Crutchfield (Project Manager). E-mail: jcrutchfield@sdcwa.org. Ken Weinberg (Water Resources Director, SDCWA). E-mail: kweinberg@sdcwa.org. Donna Nenow (SDCWA). Tel: +1 858 522 6707. Mobile: +1 858 414 8168. E-mail: dnenow@sdcwa.org. Tina Gonzalez (SDCWA). Tel: +1 858 522 6639. E-mail: tgonzalez@sdcwa.org",,,,,,,,,,,"Kimley-Horn and Associates, Inc. / Jacobs Engineering / RBF Consulting / GHD / Carollo Engineers, Inc. / HDR, Inc. / Tenera Environmental / Michael Baker Corporation / Cardno TEC, Inc.","Geoscience Support Services, Incorporated",Doosan Hydro (now Safbon Water Technologies),,,,,"Toray Industries, Inc.  ",,,,,,,,,,,,,,,,,,,,,"Shanghai Safbon Water Service Co., Ltd",,,,,,,San Diego County Water Authority,,,,,,Brown & Caldwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dissolved Air Flotion (DAF),,Microfiltration,Ultrafiltration,,,,,,,,,,,,,,,,,,,,,,
6,U.S.A.,Americas,North America,Carlsbad proposed site,California,Land based,"Carlsbad SWRO, CA","189,250",XL,50.000000000000000,41.630000000000003,14,13517.860000000000582,3.570000000000000,2.970000000000000,,RO (Reverse Osmosis),,,Dow Water & Process Solutions,,"Energy Recovery, Inc.",Pressure Exchanger,,,,,Dual Media Filtration,Seawater (TDS 20000ppm - 50000ppm),2012,2015,Mott MacDonald,RBF Consulting,Reiss Engineering,Municipalities as drinking water (TDS 10ppm - <1000ppm),,Poseidon Resources Corporation,Online,Stand-alone,IDE Technologies Ltd.,100,,,,,,,,,BOT,30,,Poseidon Resources Corporation,100.000000000000000,,,,,,,,,,,"530,000,000 USD",1.610000000000000,2018-05-25 11:16:07 UTC,33.137263709999999,-117.331941599999993,John Liarokos (San Diego County Water Authority) Tel: +1 858 522 6600,,34500,14,30,,,,,"Mott MacDonald / RBF Consulting / Reiss Engineering / Alden Research Laboratory, Inc",Poseidon Resources Corporation,PBS&J Corporation Pte Ltd (now WS Atkins),,IDE Technologies Ltd.,,,,Statiflo International Ltd. / Georg Fischer Piping System Ltd. / Cadar,,,,"Energy Recovery, Inc.",,,,,,,H. BUTTING GmbH & Co. KG / Simona AG,Protec Arisawa,,,,Ebara Corporation,Flowserve Corporation / Sulzer Ltd,,"Rotork / Victaulic Company / Castflow Valves, S.L. / Aliaxis",,,IDE Technologies Ltd.,,,,Black & Veatch,IDE Technologies Ltd.,San Diego County Water Authority ,Poseidon Resources Corporation,GHD,"J.F. Shea Construction, Inc. / Kiewit Infrastructure West Co.",,,,Hatch Ltd.,,,,,,,,,,,,,,,,,,,,,,,Two Pass,,,,Pressure Exchanger,3.300000000000000,,Dual Media Filtration,,,,,,,Chlorination,Ferric Chloride,,,,,,,,,,,,,,,,,
7,U.S.A.,Americas,North America,Huntington Beach,California,Land based,"Huntington Beach SWRO, CA","189,250",XL,50.000000000000000,41.630000000000003,13,14557.690000000000509,3.850000000000000,3.200000000000000,,RO (Reverse Osmosis),,,,Spiral Wound Membrane,,Pressure Exchanger,,,,,,Seawater (TDS 20000ppm - 50000ppm),2018,2022,RBF Consulting,,,Municipalities as drinking water (TDS 10ppm - <1000ppm),,,Planned,Stand-alone,,,,,,,,,,,DBO,35,,Poseidon Resources Corporation,100.000000000000000,,,,,,,,,,,,1.390000000000000,2018-07-24 10:38:16 UTC,33.645699749999999,-117.974444599999998,"Sandy Scott-Roberts (Principal Engineer, OCWD). Tel: +1 714 378 3292. E-mail: sscott@ocwd.com. General e-mail: oceandesalexploration@ocwd.com. Scott Maloni (Poseidon Resources). Tel: +1 619 595 7802, ext. 16.",,,,,,,,,RBF Consulting,Poseidon Resources Corporation,,,,,"Tetra Tech, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acciona Agua,,,GHD,Kiewit Corporation,,,,,Acciona Agua,,,,,,,,,,,,,,,,,,,,,,Single Pass,,Electric Motor,,Pressure Exchanger,3.300000000000000,Spiral Wound Membrane,,,,,,,,,,,,,,,,,,,,,,,,,,
8,U.S.A.,Americas,North America,Boca Raton ,Florida,Land based,Glades Road Water Treatment Plant,"151,400",XL,40.000000000000000,33.299999999999997,12,12616.670000000000073,3.330000000000000,2.780000000000000,,NF (Nanofiltration),,,,,,,,,,,,River water or low concentrated saline water (TDS 500ppm - <3000ppm),2001,2003,,,,Municipalities as drinking water (TDS 10ppm - <1000ppm),,City of Boca Raton,Online,Stand-alone,Biwater,100,,,,,,,,,EPC,1,,,,,,,,,,,,,,"86,660,000 USD",,2018-09-25 08:45:57 UTC,26.358688500000000,-80.083098399999997,,8,900,18,28,500,,,,,,,,"Biwater, Inc.",,,,,,,,,,,,Nitto Denko Corporation,,,,,,,,,,,,,,Biwater,,,,,,,City of Boca Raton,,Poole and Kent Corporation,,,,"CDM, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,U.S.A.,Americas,North America,,California,Land based,"GWRS Phase III, CA","113,550",XL,30.000000000000000,24.980000000000000,,,,,,RO (Reverse Osmosis),,,,,,,,,,,"Microfiltration,Ultrafiltration",Wastewater,2018,,,,,Municipalities as drinking water (TDS 10ppm - <1000ppm),,Orange County Water District,Planned,,,,,,,,,,,,DB,,,,,,,,,,,,,,,,,2018-08-08 16:42:42 UTC,33.717470800000001,-117.831142799999995,Mehul Patel (GWRS Programme Manager). Tel: +1 714 378 8209. E-mail: mpatel@ocwd.com. Bonnie Howard (Purchasing Manager). Tel: +1 714 378 3258. E-mail: bhoward@ocwd.com,,,,,,,,,,,Black & Veatch,,,,,,TrojanUV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orange County Water District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microfiltration,,Ultrafiltration,,,,,UV irradiation,,,,,,,,,,,,,,,,,,
10,U.S.A.,Americas,North America,Doral,Florida,Land based,Doral ,"113,400",XL,29.960000000000001,24.949999999999999,,,,,,RO (Reverse Osmosis),,,,,,,,,,,,Brackish water or inland water (TDS 3000ppm - <20000ppm),2011,2011,,,,Municipalities as drinking water (TDS 10ppm - <1000ppm),,,Online,,GdF Suez,100,,,,,,,,,EPC,,,,,,,,,,,,,,,,,2014-08-12 13:12:14 UTC,25.819542400000000,-80.355330199999997,,,,,,,,,,,,,,GE Water & Process Technologies ,,,,,,,,,,,,,,,,,,,,,,,,,,GdF Suez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
