OBJECTID_1,Name,Operator,Shape_Length,ID
1,San Diego Canal,Metropolitan Water District,0.248223099908987,1
2,Rainbow Creek,San Diego County Water Authority,0.128750450124700,2
3,Rainbow Creek,San Diego County Water Authority,0.074963519596853,3
4,San Diego Aqueduct,San Diego County Water Authority,1.142462882519921,4
5,Anderson Cottonwood Irrigation District Canal,Anderson-Cottonwood Irrigation District,0.106446284203743,5
6,Glenn Colusa Irrigation District Lateral 35-1C,Glenn Colusa Irrigation District,0.062931140518604,6
7,Glenn Colusa Irrigation District Lateral 64-2A,Glenn Colusa Irrigation District,0.030785363380189,7
8,""I"" Drains,Glenn Colusa Irrigation District,0.019018516230450,8
9,Natomas Cross Canal,Natomas Central Municipal Water Company,0.092564909018754,9
10,Main Canal,Natomas Central Municipal Water Company,0.093570114702694,10
11,Hunters Creek 2 Diversion Canal,Glenn Colusa Irrigation District,0.073902147527681,11
12,Belding Lateral,Briggs-West Gridley Irrigation District,0.209920429406979,12
13,Main Drainage Levee Canal, ,0.097847182171722,13
14,Tehama-Colusa Canal,Glenn Colusa Irrigation District,1.727860448051830,14
15,Colusa Basin Drainage Canal,Glenn Colusa Irrigation District,0.381349647512224,15
16,Glenn Colusa Canal,Glenn Colusa Irrigation District,1.091936913885567,16
17,Richvale Irrigation District Butler Canal, ,0.084333073352593,17
18,Glenn Colusa Irrigation District Lateral 25-1,Glenn Colusa Irrigation District,0.120176922818313,18
19,Glenn Colusa Irrigation District Lateral 26-2,Glenn Colusa Irrigation District,0.138304533307713,19
20,Glenn Colusa Irrigation District Lateral 41-1,Glenn Colusa Irrigation District,0.107014580262307,20
21,CassIrrigation Districty Ditch,Briggs-West Gridley Irrigation District,0.061136815730239,21
22,Glenn Colusa Irrigation District Lateral 62-2A,Glenn Colusa Irrigation District,0.025917544455295,22
23,Glenn Colusa Irrigation District Lateral 62-2A,Glenn Colusa Irrigation District,0.048565160421672,23
24,Glenn Colusa Irrigation District Lateral 26-2A,Glenn Colusa Irrigation District,0.014583627225414,24
25,Glenn Colusa Irrigation District H1 Canal,Glenn Colusa Irrigation District,0.018802107436392,25
26,East Borrow Ditch,Sutter Municipal Water Company,0.199592856778380,26
27,Farmington Lateral, ,0.133912575510329,27
28,West Borrow Ditch,Sutter Municipal Water Company,0.265338818688783,28
29,East Canal,Sutter Municipal Water Company,0.101745492188157,29
30,Jakey Ditch,Briggs-West Gridley Irrigation District,0.022460437156868,30
31,2054 Drain, ,0.017304111678666,31
32,West Interception Canal, ,0.080209065406290,32
33,Wadsworth Canal, ,0.072153711606415,33
34,Sutter Butte Canal, ,0.317366951130443,34
35,Cherokee Canal, ,0.413083144584767,35
36,Western Canal, ,0.245905845934105,36
37,Auburn Folsom South Canal,East Bay Municipal Utilities District-USBR,0.413743237018468,37
